Force_N,Loading_LSB,Unloading_LSB,Error_LSB,Error_percentFS
0.0,-4.1600985221674875,-4.3069883527454245,-0.14688983057793692,0.001959381595513261
1.0,-1096.9778656126482,-1065.0247295208655,31.953136091782653,0.42622682952820656
2.0,-1962.4176954732511,-1935.817018072289,26.600677400962013,0.35482972185726747
3.0,-2815.6189634864545,-2812.019674355495,3.599289130959278,0.04801136234132064
4.0,-3568.2372583479787,-3523.2016742770165,45.03558407096216,0.600735219209161
5.0,-4277.556940980881,-4243.454404945905,34.102536034976765,0.4548979408877997
6.0,-4959.6235119047615,-4940.1572016460905,19.466310258671,0.25966351723139597
7.0,-5556.692637598285,-5533.952288845906,22.74034875237885,0.3033363211439132
8.0,-6093.178981937603,-6050.694625407166,42.484356530436344,0.5667040798906323
9.0,-6719.502880658436,-6690.470588235294,29.03229242314228,0.3872653350177419
10.0,-7500.9045261669025,-7513.059607843137,-12.155081676234659,0.1621381360075715
